commonName,lat,lon
"Bancroft Road, Bethnal Green",51.526041,-0.047217999999999996
"Driffield Road, Old Ford",51.534137,-0.037365999999999996
"Halford Road, West Kensington",51.483911,-0.19760899999999998
"Monier Road, Hackney Wick",51.540311,-0.021630000000000003
"East Village, Queen Elizabeth Olympic Park",51.546326,-0.009935
"Aquatic Centre, Queen Elizabeth Olympic Park",51.54094,-0.01051
"Lee Valley VeloPark, Queen Elizabeth Olympic Park",51.549369,-0.015717
"Timber Lodge, Queen Elizabeth Olympic Park",51.546805,-0.014691
"Copper Box Arena, Queen Elizabeth Olympic Park",51.544909,-0.020541999999999998
"Podium, Queen Elizabeth Olympic Park",51.538718,-0.011889
"Stratford Station, Stratford",51.541793,-0.00481
"Blackfriars Road, Southwark",51.505461,-0.10454000000000001
"Cromer Street, Bloomsbury",51.528279,-0.119558
"Victoria Rise, Clapham Common",51.461376,-0.147804
"Euston Square Gardens, Euston",51.527068,-0.131861
"Coram Street, Bloomsbury",51.524,-0.126409
"Ossulston Street, Somers Town",51.5293,-0.128279
"Birkenhead Street, King's Cross",51.530199,-0.12229899999999999
"Kings Gate House, Westminster",51.497698,-0.137598
"Sopwith Way, Battersea Park",51.481121,-0.149035
"Lavington Street, Bankside",51.505224,-0.098031
"Albert Square, Stockwell",51.47659,-0.118256
"Southwark Street, Bankside",51.505409,-0.098341
"Good's Way, King's Cross",51.534667,-0.125078
"The Metropolitan, Portobello",51.520509,-0.20080399999999998
"Handyside Street, King's Cross",51.53724,-0.124807
"Bevington Road West, North Kensington",51.5212,-0.208888
"Gauden Road, Clapham",51.464995,-0.130908
"Lincoln's Inn Fields, Holborn",51.516277,-0.11827199999999999
"Tate Modern, Bankside",51.506725,-0.09880699999999999
"Westferry Circus, Canary Wharf",51.505703,-0.027771999999999998
"Here East North, Queen Elizabeth Olympic Park",51.548731,-0.022605999999999998
"New Spring Gardens Walk, Vauxhall",51.487807,-0.122759
"Clapham Road, Lingham Street, Stockwell",51.471433,-0.12367000000000002
"Lambeth Palace Road, Waterloo",51.500089,-0.116628
"Here East South, Queen Elizabeth Olympic Park",51.546532,-0.020597
"Riverlight South, Nine Elms",51.481335,-0.138212
"Westminster Pier, Westminster",51.501513,-0.12382299999999999
"Belvedere Road 2, South Bank",51.50621,-0.114842
"Victory Place, Walworth",51.492807,-0.09193799999999999
"Battersea Power Station, Battersea Park",51.483507,-0.14771399999999998
"Allington Street, Victoria",51.496863,-0.142943
"Cranmer Road, Stockwell",51.479601,-0.111471
"Normandy Road, Stockwell",51.473874,-0.11258000000000001
"Wynne Road, Stockwell",51.469217,-0.112686
"Sidney Road, Stockwell",51.469202,-0.11902199999999999
"St John's Crescent, Brixton",51.466232,-0.11317899999999999
"Ferndale Road, Brixton",51.464019,-0.115781
"Saltoun Road, Brixton",51.460232,-0.11537499999999999
"Gas Holders, Battersea Park",51.477966,-0.147857
"Farringdon Street, Holborn",51.516785,-0.104947
"York Way, Kings Cross",51.541596,-0.125441
"Fore Street Avenue, Guildhall",51.518093,-0.091401
"Sea Containers, South Bank",51.508033,-0.106823
"George Row, Bermondsey",51.498585,-0.068981
"Tower Wharf, Bermondsey",51.500845,-0.07470399999999999
"Temple Gardens, Temple",51.510981,-0.108322
"Canada Water Station, Rotherhithe",51.498439,-0.049150000000000006
"Bermondsey Station, Bermondsey",51.497995,-0.063471
"Argyll Road, Kensington",51.500401,-0.195455
"Porchester Place, Paddington",51.514746,-0.165164
"Hardwick Street, Clerkenwell",51.527842,-0.108068
"Collingham Gardens, Earl's Court",51.491615,-0.186753
"Sumner Place, South Kensington",51.491211,-0.17371499999999998
"Waterloo Road, South Bank",51.50486,-0.11300099999999999
"Strand, Strand",51.512582,-0.11505699999999999
"Worship Street, Shoreditch",51.521668,-0.079608
"Gloucester Terrace, Bayswater",51.517919,-0.188098
"Ashley Place, Victoria",51.49616,-0.140947
"Warwick Square, Pimlico",51.489856,-0.141923
"North Audley Street, Mayfair",51.512911,-0.153645
"Belgrave Square, Belgravia",51.499412,-0.15231699999999998
"Bell Street , Marylebone",51.522029,-0.165842
"Riverlight North, Nine Elms",51.482362,-0.136123
"Portland Place, Marylebone",51.520715,-0.145211
"Alderney Street, Pimlico",51.488057,-0.140741
"South Wharf Road, Paddington",51.517335,-0.17581000000000002
"Queen's Gate (South), South Kensington",51.492479,-0.17843299999999998
"Nutford Place, Marylebone",51.516517,-0.16439299999999998
"Claremont Square, Angel",51.531666,-0.109914
"Rampayne Street, Pimlico",51.489975,-0.132845
"Hyde Park Corner, Hyde Park",51.503117,-0.15352000000000002
"Wardour Street, Soho",51.512515,-0.13320099999999999
"Bankside Mix, Bankside",51.505817,-0.100186
"Hop Exchange, The Borough",51.504627,-0.091773
"Milroy Walk, South Bank",51.507244,-0.106237
"Union Street, The Borough",51.503688,-0.098497
"Stamford Street, South Bank",51.505569,-0.111606
"Great Tower Street, Monument",51.510484,-0.082989
"LMU Commercial Road, Whitechapel",51.514924,-0.066078
"Dorset Square, Marylebone",51.522596,-0.161113
"Leman Street, Aldgate",51.512363,-0.06954199999999999
"West Smithfield Rotunda, Farringdon",51.518218,-0.10079099999999999
"Margery Street, Clerkenwell",51.526599,-0.11243199999999999
"New Road 1 , Whitechapel",51.518154,-0.062697
"Grosvenor Crescent, Belgravia",51.501352,-0.153194
"Mallory Street, Marylebone",51.525051,-0.16630399999999998
"Denyer Street, Knightsbridge",51.493583,-0.165101
"Hinde Street, Marylebone",51.516814,-0.151926
"Cadogan Place, Knightsbridge",51.494645,-0.158105
"Campden Hill Road, Notting Hill",51.506584,-0.199004
"Wellington Arch, Hyde Park",51.50274,-0.14956899999999998
"Endsleigh Gardens, Euston",51.526838,-0.13050399999999998
"Moorfields, Moorgate",51.519069,-0.088285
"Old Brompton Road, South Kensington",51.490944999999996,-0.18119000000000002
"Wormwood Street, Liverpool Street",51.516154,-0.082422
"St. Luke's Church, Chelsea",51.489716,-0.17019399999999998
"Bramham Gardens, Earl's Court",51.490163,-0.19039299999999998
"Chelsea Green, Chelsea",51.490664,-0.166485
